Loading activations: data/activations/mistral-7b-layer16/activations.npy
  shape     : (500000, 4096)  dtype=float16
  model     : mlx-community/Mistral-7B-v0.3-4bit
  layer     : 16

Config:
{
  "source_model": "mlx-community/Mistral-7B-v0.3-4bit",
  "source_layer": 16,
  "d_in": 4096,
  "dict_size": 16384,
  "k": 128,
  "expansion": 4.0,
  "peak_lr": 0.0001,
  "steps": 50000,
  "batch": 2048,
  "warmup": 500,
  "seed": 42,
  "n_source_tokens": 500000,
  "total_tokens": 102400000,
  "epochs_equiv": 204.8
}

Training  steps=50,000  dict=16384  K=128  lr=0.0001  batch=2048

step      1/50,000  loss=0.0486  L0=128.0  FVE=-0.088  dead=  629  lr=2.00e-07       671 tok/s
step    200/50,000  loss=0.0504  L0=128.0  FVE=0.345  dead=  325  lr=4.00e-05     4,162 tok/s
step    400/50,000  loss=0.0185  L0=128.0  FVE=0.887  dead=  309  lr=8.00e-05     4,212 tok/s
step    600/50,000  loss=0.0050  L0=128.0  FVE=0.937  dead=  307  lr=1.00e-04     4,230 tok/s
step    800/50,000  loss=0.0043  L0=128.0  FVE=0.950  dead=  305  lr=1.00e-04     4,242 tok/s
step  1,000/50,000  loss=0.0041  L0=128.0  FVE=0.915  dead=  302  lr=1.00e-04     4,248 tok/s
step  1,200/50,000  loss=0.0039  L0=128.0  FVE=0.878  dead=  301  lr=1.00e-04     4,251 tok/s
step  1,400/50,000  loss=0.0038  L0=128.0  FVE=0.935  dead=  297  lr=9.99e-05     4,252 tok/s
step  1,600/50,000  loss=0.0037  L0=128.0  FVE=0.891  dead=  295  lr=9.99e-05     4,252 tok/s
step  1,800/50,000  loss=0.0037  L0=128.0  FVE=0.920  dead=  292  lr=9.98e-05     4,255 tok/s
step  2,000/50,000  loss=0.0037  L0=128.0  FVE=0.933  dead=  292  lr=9.98e-05     4,257 tok/s
step  2,200/50,000  loss=0.0036  L0=128.0  FVE=0.947  dead=  292  lr=9.97e-05     4,257 tok/s
step  2,400/50,000  loss=0.0036  L0=128.0  FVE=0.938  dead=  291  lr=9.97e-05     4,258 tok/s
step  2,600/50,000  loss=0.0035  L0=128.0  FVE=0.966  dead=  289  lr=9.96e-05     4,259 tok/s
step  2,800/50,000  loss=0.0035  L0=128.0  FVE=0.923  dead=  287  lr=9.95e-05     4,260 tok/s
step  3,000/50,000  loss=0.0035  L0=128.0  FVE=0.896  dead=  285  lr=9.94e-05     4,261 tok/s
step  3,200/50,000  loss=0.0035  L0=128.0  FVE=0.940  dead=  284  lr=9.93e-05     4,262 tok/s
step  3,400/50,000  loss=0.0034  L0=128.0  FVE=0.958  dead=  284  lr=9.92e-05     4,262 tok/s
step  3,600/50,000  loss=0.0034  L0=128.0  FVE=0.923  dead=  281  lr=9.91e-05     4,262 tok/s
step  3,800/50,000  loss=0.0034  L0=128.0  FVE=0.976  dead=  281  lr=9.90e-05     4,262 tok/s
step  4,000/50,000  loss=0.0034  L0=128.0  FVE=0.958  dead=  281  lr=9.88e-05     4,263 tok/s
step  4,200/50,000  loss=0.0033  L0=128.0  FVE=0.830  dead=  281  lr=9.87e-05     4,264 tok/s
step  4,400/50,000  loss=0.0033  L0=128.0  FVE=0.964  dead=  280  lr=9.86e-05     4,264 tok/s
step  4,600/50,000  loss=0.0033  L0=128.0  FVE=0.902  dead=  278  lr=9.84e-05     4,264 tok/s
step  4,800/50,000  loss=0.0033  L0=128.0  FVE=0.969  dead=  277  lr=9.82e-05     4,265 tok/s
step  5,000/50,000  loss=0.0032  L0=128.0  FVE=0.966  dead=3,500  lr=9.81e-05     4,265 tok/s
step  5,200/50,000  loss=0.0032  L0=128.0  FVE=0.615  dead=11,156  lr=9.79e-05     4,265 tok/s
step  5,400/50,000  loss=0.0032  L0=128.0  FVE=0.955  dead=12,022  lr=9.77e-05     4,266 tok/s
step  5,600/50,000  loss=0.0032  L0=128.0  FVE=0.844  dead=12,071  lr=9.75e-05     4,266 tok/s
step  5,800/50,000  loss=0.0032  L0=128.0  FVE=0.966  dead=12,082  lr=9.73e-05     4,266 tok/s
step  6,000/50,000  loss=0.0031  L0=128.0  FVE=0.932  dead=12,041  lr=9.71e-05     4,266 tok/s
step  6,200/50,000  loss=0.0031  L0=128.0  FVE=0.919  dead=12,041  lr=9.69e-05     4,266 tok/s
step  6,400/50,000  loss=0.0031  L0=128.0  FVE=0.946  dead=12,021  lr=9.67e-05     4,266 tok/s
step  6,600/50,000  loss=0.0031  L0=128.0  FVE=0.851  dead=11,957  lr=9.65e-05     4,266 tok/s
step  6,800/50,000  loss=0.0030  L0=128.0  FVE=0.908  dead=11,854  lr=9.63e-05     4,267 tok/s
step  7,000/50,000  loss=0.0030  L0=128.0  FVE=0.905  dead=11,757  lr=9.60e-05     4,267 tok/s
step  7,200/50,000  loss=0.0030  L0=128.0  FVE=0.957  dead=11,644  lr=9.58e-05     4,267 tok/s
step  7,400/50,000  loss=0.0030  L0=128.0  FVE=0.857  dead=11,585  lr=9.55e-05     4,267 tok/s
step  7,600/50,000  loss=0.0030  L0=128.0  FVE=0.935  dead=11,531  lr=9.53e-05     4,267 tok/s
step  7,800/50,000  loss=0.0029  L0=128.0  FVE=0.850  dead=11,473  lr=9.50e-05     4,267 tok/s
step  8,000/50,000  loss=0.0029  L0=128.0  FVE=0.935  dead=11,391  lr=9.47e-05     4,267 tok/s
step  8,200/50,000  loss=0.0029  L0=128.0  FVE=0.956  dead=11,307  lr=9.44e-05     4,267 tok/s
step  8,400/50,000  loss=0.0029  L0=128.0  FVE=0.915  dead=11,210  lr=9.42e-05     4,267 tok/s
step  8,600/50,000  loss=0.0029  L0=128.0  FVE=0.936  dead=11,105  lr=9.39e-05     4,267 tok/s
step  8,800/50,000  loss=0.0028  L0=128.0  FVE=0.915  dead=11,018  lr=9.36e-05     4,267 tok/s
step  9,000/50,000  loss=0.0028  L0=128.0  FVE=0.913  dead=10,926  lr=9.33e-05     4,267 tok/s
step  9,200/50,000  loss=0.0028  L0=128.0  FVE=0.965  dead=10,832  lr=9.29e-05     4,267 tok/s
step  9,400/50,000  loss=0.0028  L0=128.0  FVE=0.960  dead=10,772  lr=9.26e-05     4,268 tok/s
step  9,600/50,000  loss=0.0028  L0=128.0  FVE=0.667  dead=10,711  lr=9.23e-05     4,268 tok/s
step  9,800/50,000  loss=0.0027  L0=128.0  FVE=0.866  dead=10,635  lr=9.20e-05     4,268 tok/s
step 10,000/50,000  loss=0.0027  L0=128.0  FVE=0.961  dead=10,560  lr=9.16e-05     4,268 tok/s
  [saved checkpoint_step_010000.npz]
step 10,200/50,000  loss=0.0027  L0=128.0  FVE=0.967  dead=10,474  lr=9.13e-05     4,268 tok/s
step 10,400/50,000  loss=0.0027  L0=128.0  FVE=0.952  dead=10,421  lr=9.09e-05     4,268 tok/s
step 10,600/50,000  loss=0.0027  L0=128.0  FVE=0.976  dead=10,334  lr=9.06e-05     4,268 tok/s
